query,named_entity,type
Artists similar to Noisia or Tiësto?,tiësto,Artist
Songs adults like that can be played in a classroom of 8yr olds?,,
Oloff - I Found Myself,oloff,Artist
Oloff - I Found Myself,i found myself,WoA
Frank Zappa music for a Primus fan,frank zappa,Artist
Frank Zappa music for a Primus fan,primus,Artist
songs like Hate to See Your Heart Break by Paramore ft Joy Williams,hate to see your heart break,WoA
songs like Hate to See Your Heart Break by Paramore ft Joy Williams,paramore,Artist
songs like Hate to See Your Heart Break by Paramore ft Joy Williams,joy williams,Artist
Post breakup,,
Artists like Yuki Kajiura,yuki kajiura,Artist
Is this a specific kind of jazz? I really like the simplicity and how smooth it sounds,,
Searching for something similar,,
Artist or Songs like R&B/Soul or R&B/Funk?,,
Something similar to the Warhammer 40K mechanicus soundtrack,warhammer 40k mechanicus,WoA
Acoustic guitar songs for the elderly?,,
"Looking for slow placed, acid, relaxing music just like this",,
Looking for music similar to this - Techno/House music with long basslines and nice melodies,,
Sad music? Lol,,
"Looking for rock songs with heavy emotions and deeper meanings like The Cranberries ""Zombie"" & Yeah Yeah Yeahs ""Maps""",the cranberries,Artist
"Looking for rock songs with heavy emotions and deeper meanings like The Cranberries ""Zombie"" & Yeah Yeah Yeahs ""Maps""",zombie,WoA
"Looking for rock songs with heavy emotions and deeper meanings like The Cranberries ""Zombie"" & Yeah Yeah Yeahs ""Maps""",yeah yeah yeahs,Artist
"Looking for rock songs with heavy emotions and deeper meanings like The Cranberries ""Zombie"" & Yeah Yeah Yeahs ""Maps""",maps,WoA
Looking for something that haves the same vibe as this song,,
I'm looking for some new instrumental-only stuff.,,
Making a playlist with some high energy songs and looking for some gems,,
"""Scremy"" DnB? Very hard to explain briefly - Help!",,
Where can I find more heavy synth like this?,,
Rap songs that have tons of passion in them.,,
Music That Moves You?,,
"Looking for music that's similar to Cat Thruster by Deadmau5, and also Reclaim the Balcony or Da Mess Sticks by Nightmares on Wax",cat thruster,WoA
"Looking for music that's similar to Cat Thruster by Deadmau5, and also Reclaim the Balcony or Da Mess Sticks by Nightmares on Wax",deadmau5,Artist
"Looking for music that's similar to Cat Thruster by Deadmau5, and also Reclaim the Balcony or Da Mess Sticks by Nightmares on Wax",reclaim the balcony,WoA
"Looking for music that's similar to Cat Thruster by Deadmau5, and also Reclaim the Balcony or Da Mess Sticks by Nightmares on Wax",nightmares on wax,Artist
"Looking for music that's similar to Cat Thruster by Deadmau5, and also Reclaim the Balcony or Da Mess Sticks by Nightmares on Wax",da mess sticks,WoA
Need workout music,,
Electronic (perhaps electro house?) mixed with french female rapping.,,
Looking for more awesome Beatles rap mashup albums like this,beatles,Artist
"Looking for 80s song with feeling of Radiohead's ""Reckoner""",radioheads,Artist
"Looking for 80s song with feeling of Radiohead's ""Reckoner""",reckoner,WoA
Music like scala & kolacny? (choral renditions/covers of songs),scala & kolacny,Artist
Any dnb songs or artists that similar to this,,
A song similar to depeche's mode ''work it out'',depeches mode,Artist
A song similar to depeche's mode ''work it out'',work it out,WoA
"Slow, Low, and powerful.",,
"Any other songs like Leonards Cohen ""you want it darker""?",leonards cohen,Artist
"Any other songs like Leonards Cohen ""you want it darker""?",you want it darker,WoA
looking for chill sad female vocalists with pretty instrumentals. i guess it’s technically classified as electronic/indie/alternative/pop. it’s kind of hard to describe what i’m looking for.,,
"Artists similar to George Harrison, Jimi Hendrix, etc.",,
Looking for similar songs and genre to Mat Zo - Too Late (Matt Lange Remix),mat zo,Artist
Looking for similar songs and genre to Mat Zo - Too Late (Matt Lange Remix),too late,WoA
Looking for similar songs and genre to Mat Zo - Too Late (Matt Lange Remix),matt lange,Artist
New Bands That Will Change My Life,,
"Songs or Music that can flex the subwoofer cone hard, but still sound good to ears (less noise)?",,
Alternative Hip Hop,,
Looking for music like sam smith's writing on the wall.,sam smiths,Artist
Looking for music like sam smith's writing on the wall.,writing on the wall,WoA
"I’m looking for New Orleans style music/bands, fun, uplifting makes you want to dance type jazz?",,
Bands performing covers of electronic classics,,
Looking for rock songs in the minor key,,
Soft Cuban Love Songs,,
Music suggestions for a playlist?,,
Looking for music similar to a song,,
Music similar to kung fu panda soundtrack.,kung fu panda,WoA
Songs like ‘Thanks for Your Time’ by Gotye?,thanks for your time,WoA
Songs like ‘Thanks for Your Time’ by Gotye?,gotye,Artist
Trying to make a working out playlist. High energy trap beats do it for me and i'm looking for suggestions.,,
"Into rap, need new suggestions",,
Looking for music suggestions.,,
Chinese Man- Indi Groove. similar tunes/vibes?,chinese man,Artist
"Some of my favorite bands include Procupine tree and Radiohead, but I've ran out of new stuff to listen to. Any suggestions?",procupine tree,Artist
"Some of my favorite bands include Procupine tree and Radiohead, but I've ran out of new stuff to listen to. Any suggestions?",radiohead,Artist
More songs like:,,
Any sailor/pirate/violin/celtic request ?,,
any songs similair to this?,,
Something like Deftones' Adrenaline,deftones,Artist
Something like Deftones' Adrenaline,adrenaline,WoA
I'm looking for songs that are exactly like this Carpenter Brut - Beware The Beast,carpenter brut,Artist
I'm looking for songs that are exactly like this Carpenter Brut - Beware The Beast,beware the beast,WoA
help me find songs/genre similar to this?,,
Braveheart End Credits - Choral Section,braveheart,WoA
"Songs similar to ""she will be loved"" by Maroon 5",she will be loved,WoA
"Songs similar to ""she will be loved"" by Maroon 5",maroon 5,Artist
These female rappers are power..,,
Looking for a similar sound,,
"Music like ""Bridge of Light"" From Laura Craft Go",bridge of light,WoA
"Music like ""Bridge of Light"" From Laura Craft Go",laura craft go,WoA
Looking for Dark and/or Somber Disco,,
Any piano-heavy Rock Ballads similar to Jim Steinman songs?,jim steinman,Artist
Looking for the ultimate pump up song.,,
Need help finding sad songs,,
"Looking for songs like ""Borderline"" from Tame Impala",borderline,WoA
"Looking for songs like ""Borderline"" from Tame Impala",tame impala,Artist
Gianni Taylor - Old Me (ft. Ollie Joseph),gianni taylor,Artist
Gianni Taylor - Old Me (ft. Ollie Joseph),old me,WoA
Gianni Taylor - Old Me (ft. Ollie Joseph),ollie joseph,Artist
Songs similar to Define by Dom Dolla,define,WoA
Songs similar to Define by Dom Dolla,dom dolla,Artist
Any similar songs with Brother - Matt Corby,brother,WoA
Any similar songs with Brother - Matt Corby,matt corby,Artist
Upbeat ish cool songs suggestion?,,
"Looking for music like ""Jump Up, Super Star"" Jazzy, lots of brass instruments, with large band.", jump up super star,WoA
Looking for a genre I can't put a name to,,
Any full albums like the first song on this album? NSFW album art,,
"This might be a shot in the dark, but I’m looking for some kind of break up song about realizing your partner is abusive (pop, indie, alternative, rock, idc)",,
Lokking for alternative metal like Deftone and Soundgarden with eerie sounding melody,deftone,Artist
Lokking for alternative metal like Deftone and Soundgarden with eerie sounding melody,soundgarden,Artist
"Looking for music similar to the first 35 seconds of 'Father Stretch my Hands Pt 1', e.g. Gospel",father stretch my hands pt 1,WoA
artists similar to this,,
Looking for slower songs with thick bass guitar,,
Any love for punk/ post-hardcore?,,
Need new rap music,,
Dantes creek by THEY.,dantes creek,WoA
Dantes creek by THEY.,they,Artist
Caleb Cruise - Do My Dance (Prod. Taylor King),caleb cruise,Artist
Caleb Cruise - Do My Dance (Prod. Taylor King),do my dance,WoA
Caleb Cruise - Do My Dance (Prod. Taylor King),taylor king,Artist
Music suggestions while coding?,,
"Any suggestions this is my playlist, I like most things except country",,
Looking for more music,,
Anything similar to Gorillaz?,gorillaz,Artist
Smile Empty Soul - Leave a Light On,smile empty soul,Artist
Smile Empty Soul - Leave a Light On,leave a light on,WoA
Bands similar to Arctic monkeys,arctic monkeys,Artist
dopamine rush song??,,
Anything similar vibe to this Acoustic PVRIS EP?,acoustic,WoA
Anything similar vibe to this Acoustic PVRIS EP?,pvris,Artist
Music like Beach House/Slow dive,beach house,Artist
Music like Beach House/Slow dive,slow dive,WoA
I just found this song that I really want more of.,,
"Looking for grand, orchestral-based, theatrical sounding music",,
Similar songs to this masterpiece,,
Songs/albums/musicians that sound like Burial?,burial,Artist
MOST UNDERRATED SONG OF 2018,,
Any songs for a good drumming workout?,,
Is there music that is similar to the first 5 seconds of this song?,,
Looking for music like...,,
Looking for more ska punk or reggae rock songs and bands,,
Big Gigantic - All Of Me (Feat. Logic & Rozes),all of me feat,WoA
Big Gigantic - All Of Me (Feat. Logic & Rozes),big gigantic,Artist
Big Gigantic - All Of Me (Feat. Logic & Rozes),logic,Artist
Big Gigantic - All Of Me (Feat. Logic & Rozes),rozes,Artist
2000's nostalgic guitar songs,,
Looking for music similar to Peter Gabriel 4: Security,,
Music for parents over 30,,
Songs similar to the ending part of bbno$ - Nursery,bbno$,Artist
Songs similar to the ending part of bbno$ - Nursery,nursery,WoA
Any Red Hot Chilli Pepper’ish rock band?,red hot chilli pepperish,Artist
Looking for music similar to the first 45 seconds of the music video for Alone Pt. 2 by Alan Walker,alone pt 2,WoA
Looking for music similar to the first 45 seconds of the music video for Alone Pt. 2 by Alan Walker,alan walker,Artist
In need of romantic songs! ...rap and metal romantic songs...,,
Some electronic/funk music similar to Louis Cole's stuff?,louis coles,Artist
Songs like these? Songs for adults that sound like kids songs.,,
Hip Hop/Rap music recommendations,,
Similar Album to Love & Theft by Bob Dylan,love & theft,WoA
Similar Album to Love & Theft by Bob Dylan,bob dylan,Artist
"Need more music like this, moody, melancholic almost dramatic nightly music. I love Parov, and this is so different from his other stuff",parov,Artist
Good fall/autumn music,,
Looking for music similar to 'Tahiti' by Weird Party,tahiti,WoA
Looking for music similar to 'Tahiti' by Weird Party,weird party,Artist
Latenight Music recommendations,,
Bands like Rage Against the Machine for a death metal fan,rage against the machine,Artist
Something similar to Night Flight - Quintus Project and No Happy Endings - Tangerine Dream,night flight,WoA
Something similar to Night Flight - Quintus Project and No Happy Endings - Tangerine Dream,quintus project,Artist
Something similar to Night Flight - Quintus Project and No Happy Endings - Tangerine Dream,no happy endings,WoA
Something similar to Night Flight - Quintus Project and No Happy Endings - Tangerine Dream, tangerine dream,Artist
Just played this game and love this track. Looking for songs like it - its very 80s.,,
Music like juice WRLD and Lil uzi vert,juice wrld,Artist
Music like juice WRLD and Lil uzi vert,lil uzi vert,Artist
Looking for more western styled instrumental songs like this one (HELP)!,,
Riddim/EDM/Dubstep/whatever,,
Similar to Rudimental?,rudimental,Artist
Bluegrass clog dancing,,
"Any suggestions for songs like this? I'm not looking for synthwave like normal Perturbator, Carpenter Brut, GosT etc. I'm looking for songs and/or artist that do specifically this kind of songs with the chill jazzy yet futuristic mood.",perturbator,Artist
"Any suggestions for songs like this? I'm not looking for synthwave like normal Perturbator, Carpenter Brut, GosT etc. I'm looking for songs and/or artist that do specifically this kind of songs with the chill jazzy yet futuristic mood.",carpenter brut,Artist
"Any suggestions for songs like this? I'm not looking for synthwave like normal Perturbator, Carpenter Brut, GosT etc. I'm looking for songs and/or artist that do specifically this kind of songs with the chill jazzy yet futuristic mood.",gost,Artist
Shoegazing genre of music I think?,,
Late ‘40s Early ‘50s Western Music,,
"Looking for songs/music with a strong ""ambient feel"" to it",,
I like music with slide guitar in it a lot.,,
"More like Lamb of God [Groove, Thrash Metal]",lamb of god,Artist
Electro swing songs with big brass sound,,
Ain't No Sunshine by Matt Andersen: Looking for more performances like this where the artist pours every ounce of their being into the song,aint no sunshine,WoA
Ain't No Sunshine by Matt Andersen: Looking for more performances like this where the artist pours every ounce of their being into the song,matt andersen,Artist
